Importador (prob.),A¤oMes,Pais Origen,Cond. Venta,Kg. Netos,Divisa,Flete Dolares,Seguro D¢lar,Estado dela mercaderia,Cantidad declarada,Precio Unitario en Divisa,Fob total en divisa,Precio Unitario en dolares,Fob total en dolares,Cif Total en dolares,Marca EDIT,Marca Modelo Edit,TIPO,Applicable carrier weight,Segmento
JCR S. A.,201401,Italia,CIF,222,D¢lar Estadounidense,63.95,120,nvo.s/uso imp,1,"13,600",13600,"13,600",13600,13784,INDECO,INDECO HP 700 1,Martillo hidraulico,4.0 - 12.0,01. Chicas
VERDOL  S.A,201402,Corea Republicana,CIF,1564,D¢lar Estadounidense,285,38,nvo.s/uso imp,1,"27,477",27476.77,"27,477",27477,27800,EVERDIGM,EVERDIGM EHB20,Martillo hidraulico,16.0 - 25.0,03. Grande
REPAS S A,201402,Corea Republicana,CIF,883,D¢lar Estadounidense,198.42,49,nvo.s/uso imp,2,"4,800",9600,"4,800",9600,9847,SOOSAN,SOOSAN SB43 BH,Martillo hidraulico,4.0 - 7.0,01. Chicas
REPAS S A,201402,Corea Republicana,CIF,1191,D¢lar Estadounidense,260.12,64,nvo.s/uso imp,2,"3,500",7000,"3,500",7000,7324,SOOSAN,SOOSAN SB40 TS P,Martillo hidraulico,4.0 - 7.0,01. Chicas
REPAS S A,201402,Corea Republicana,CIF,595,D¢lar Estadounidense,130.06,32,nvo.s/uso imp,1,"6,800",6800,"6,800",6800,6962,SOOSAN,SOOSAN SB50 TS P,Martillo hidraulico,11.0 - 16.0,02. Mediana
REPAS S A,201402,Corea Republicana,CIF,595,D¢lar Estadounidense,130.06,32,nvo.s/uso imp,1,"11,370",11370,"11,370",11370,11532,SOOSAN,SOOSAN SB70 TS P,Martillo hidraulico,16.0 - 21.0,02. Mediana
REPAS S A,201402,Corea Republicana,CIF,300,D¢lar Estadounidense,67.53,17,nvo.s/uso imp,1,3267.3,3267.3,"3,267",3267,3352,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
REPAS S A,201402,Corea Republicana,CIF,1242,D¢lar Estadounidense,271.8,67,nvo.s/uso imp,1,"13,150",13150,"13,150",13150,13489,SOOSAN,SOOSAN SB85 TS P,Martillo hidraulico,18.0 - 26.0,03. Grande
MINERA ARGENTINA GOLD S A,201403,Corea Republicana,EXW,2213,D¢lar Estadounidense,2253.25,1226,nvo.s/uso imp,1,"58,749",58749.46,"58,749",58749,62229,BREAKER,BREAKER BXR50,Martillo hidraulico,18.0 - 35.0,03. Grande
ATLAS COPCO ARGENTINA  SACI,201403,Suecia,CIF,470,D¢lar Estadounidense,60.53,83,nvo.s/uso imp,2,"7,588",15175.13,"7,588",15175,15319,Epiroc,Epiroc SB302,Martillo hidraulico,4.5 - 9.0,01. Chicas
ATLAS COPCO ARGENTINA  SACI,201403,Alemania,CIF,934,D¢lar Estadounidense,72.38,100,nvo.s/uso imp,1,"18,146",18145.69,"18,146",18146,18318,Epiroc,Epiroc MB1200,Martillo hidraulico,15.0 - 26.0,02. Mediana
CONSTRUCCIONES ELECTROMECANICAS DEL OESTE S A,201403,Italia,CFR,2100,D¢lar Estadounidense,140.32,766,nvo.s/uso imp,2,"24,190",48380,"24,190",48380,49287,INDECO,INDECO HP 2000,Martillo hidraulico,15.0 - 25.0,02. Mediana
CANTERAS DIQUECITO SOCIEDAD ANONIMA,201404,Italia,CIF,1792,Euro,956.37,308,nvo.s/uso imp,1,"45,895",45895,"63,023",63023,64288,INDECO,INDECO HP 4000,Martillo hidraulico,23.0 - 42.0,04. Muy Grande
REPAS S A,201404,Corea Republicana,CIF,1174,D¢lar Estadounidense,169.84,49,nvo.s/uso imp,2,"4,850",9700,"4,850",9700,9919,SOOSAN,SOOSAN SB43 II BH,Martillo hidraulico,6.0 - 9.0,01. Chicas
REPAS S A,201404,Corea Republicana,CIF,989,D¢lar Estadounidense,138.62,40,nvo.s/uso imp,1,"19,202",19202,"19,202",19202,19381,SOOSAN,SOOSAN SQ120,Martillo hidraulico,28.0 - 35.0,03. Grande
REPAS S A,201404,Corea Republicana,CIF,2967,D¢lar Estadounidense,415.85,121,nvo.s/uso imp,3,3300,9900,"3,300",9900,10437,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
REPAS S A,201404,Corea Republicana,CIF,2967,D¢lar Estadounidense,415.85,121,nvo.s/uso imp,3,"3,433",10300,"3,433",10300,10837,SOOSAN,SOOSAN SB40 TS P,Martillo hidraulico,4.0 - 7.0,01. Chicas
REPAS S A,201404,Corea Republicana,CIF,989,D¢lar Estadounidense,138.62,40,nvo.s/uso imp,1,"6,450",6450,"6,450",6450,6629,SOOSAN,SOOSAN SB50 TS P,Martillo hidraulico,11.0 - 16.0,02. Mediana
REPAS S A,201404,Corea Republicana,CIF,4945,D¢lar Estadounidense,693.08,201,nvo.s/uso imp,5,"11,413",57064.22,"11,413",57064,57959,SOOSAN,SOOSAN SB70 TS P,Martillo hidraulico,16.0 - 21.0,02. Mediana
REPAS S A,201404,Corea Republicana,CIF,3147,D¢lar Estadounidense,455.25,132,nvo.s/uso imp,2,13000,26000,"13,000",26000,26588,SOOSAN,SOOSAN SB81 TS P,Martillo hidraulico,18.0 - 26.0,03. Grande
TRACK MAR SACI,201404,Italia,FOB,1171,D¢lar Estadounidense,94.44,101,nvo.s/uso imp,1,"8,039",8038.8,"8,039",8039,8234,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201404,Italia,FOB,1171,D¢lar Estadounidense,94.44,101,nvo.s/uso imp,1,"11,977",11977,"11,977",11977,12172,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201404,Italia,FOB,481,D¢lar Estadounidense,43.23,64,nvo.s/uso imp,2,"3,151",6301.12,"3,151",6301,6408,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201404,Italia,EXW,367,Euro,59.28,21,nvo.s/uso imp,1,"2,506",2505.64,"3,459",3459,3539,OMAL,OMAL HB270,Martillo hidraulico,4.0 - 12.0,01. Chicas
TRACK MAR SACI,201404,Italia,EXW,734,Euro,118.56,42,nvo.s/uso imp,2,"3,307",6614.9,"4,566",9132,9292,OMAL,OMAL HB400S,Martillo hidraulico,7.0 - 10.0,02. Mediana
TRACK MAR SACI,201404,Italia,EXW,367,Euro,59.28,21,nvo.s/uso imp,1,"2,506",2505.64,"3,459",3459,3539,OMAL,OMAL HB270,Martillo hidraulico,4.0 - 12.0,01. Chicas
OCSA SA,201404,Italia,CIF,1000,D¢lar Estadounidense,2000,700,nvo.s/uso imp,1,"23,500",23500,"23,500",23500,26200,INDECO,INDECO HP 2000,Martillo hidraulico,15.0 - 25.0,02. Mediana
TRACK MAR SACI,201405,Italia,EXW,1073,Euro,123.9,85,nvo.s/uso imp,1,"6,013",6013.4,"8,386",8386,8595,OMAL,OMAL HB1000,Martillo hidraulico,12.0 - 23.0,02. Mediana
TRACK MAR SACI,201405,Italia,EXW,1193,Euro,154.88,76,nvo.s/uso imp,1,"9,020",9020.32,"12,580",12580,12811,OMAL,OMAL HB1300S,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201405,Italia,EXW,1193,Euro,154.88,76,nvo.s/uso imp,1,"6,013",6013.4,"8,386",8386,8617,OMAL,OMAL HB1000,Martillo hidraulico,12.0 - 23.0,02. Mediana
GRUAS SAN BLAS S A,201405,Francia,FOB,2582,D¢lar Estadounidense,1637.37,343,nvo.s/uso imp,5,"6,534",32669.85,"6,534",32670,34650,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201405,Francia,FOB,2697,D¢lar Estadounidense,1887.18,346,nvo.s/uso imp,5,"6,534",32669.85,"6,534",32670,34903,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
GRUAS SAN BLAS S A,201406,Francia,FOB,4072,D¢lar Estadounidense,2393.43,351,nvo.s/uso imp,5,"6,534",32669.85,"6,534",32670,35414,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
TRACK MAR SACI,201407,Italia,FOB,713.5,D¢lar Estadounidense,80.27,86.73,nvo.s/uso imp,2,3655.27,7310.54,3655.27,7310.54,7477.54,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201407,Italia,FOB,713.5,D¢lar Estadounidense,80.27,86.73,nvo.s/uso imp,2,4936.96,9873.92,4936.96,9873.92,10040.92,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
TRACK MAR SACI,201407,Italia,EXW,764,Euro,113.34,74.66,nvo.s/uso imp,2,1804.06,3608.12,2430.97,4861.93,5049.93,OMAL,OMAL HB120S,Martillo hidraulico,1.2 - 4.0,01. Chicas
TRACK MAR SACI,201407,Italia,EXW,764,Euro,113.34,74.66,nvo.s/uso imp,2,2305.19,4610.38,3106.24,6212.47,6400.47,OMAL,OMAL HB196S,Martillo hidraulico,2.2 - 4.0,01. Chicas
TRACK MAR SACI,201407,Italia,EXW,382,Euro,56.67,37.33,nvo.s/uso imp,1,6013.4,6013.4,8103.04,8103.04,8197.04,OMAL,OMAL HB1000,Martillo hidraulico,12.0 - 23.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201408,EE.UU.,CIF,562,D¢lar Estadounidense,500,16.41,nvo.s/uso imp,1,13400,13400,13400,13400,13916.41,CATERPILLAR,CATERPILLAR H75ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201408,EE.UU.,FCA,1864.54,D¢lar Estadounidense,658.07,133.04,nvo.s/uso imp,1,25950,25950,25950,25950,26741.11,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
CERRO VANGUARDIA SOCIEDAD ANONIMA,201408,EE.UU.,EXW,172,D¢lar Estadounidense,218.41,128.19,nvo.s/uso imp,1,12600.48,12600.48,12600.48,12600.48,12947.08,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
