Importador (prob.);Cuit;Mes/Año;Fecha oficialización;Destinación;Despacho;Posición SIM;Descripción;Descripción NCM;Descripción SIM;Aduana;Origen;Pais de procedencia;Medio;Transporte;Cond. venta;Kg. netos;Kg. Brutos;Divisa;Flete;Cantidad estadística;Unidad estadística;Unidad declarada;Seguro dólar;Estado de la mercadería;Item - sub ítem;Cantidad declarada;Precio unitario en divisas;Fob total en divisas;Precio unitario en dólares;Fob total en dólares;CIF;Marca;Modelo;Versión;Código;Presentación;Vencimiento;Base imponible;% Derechos;Derechos de importación;Derechos de importación en garantía;% Estadística;Tasa estadística;Tasa estadistica monto maximo;% IVA;IVA;IVA en garantía;% IVA adicional;IVA adicional insc.;% IIBB;IIBB;% Ganancias;Impuesto a las ganancias;Impuesto a las ganancias en garantía;% Arancel SIM;Arancel SIM;Código;Detalle;;;;;;;;;;
L M A INDUSTRIAL SA;30690580086;mar-20;2/3/2020;CONSUMO;20008IC04001984S;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Campana;INDIA;INDIA;Acuatica;910052841;CIF;9870,77;11680;Dólar Estadounidense;973,5;0;No Encontrado;Unidad;500;nvo.s/uso imp;0001 - 0000;1;57825,5;57825,5;57825,5;57825,5;59299;JCB;116D;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;16604;0;0;0;0;0;14196;0;0;13520;0;3390;0;8112;0;0;10;CA00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 004399 CILINDRADA EN cm3. ;ZC; 000085 POTENCIA EN kW. ;;;;
L M A INDUSTRIAL SA;30690580086;mar-20;2/3/2020;CONSUMO;20008IC04001984S;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Campana;INDIA;INDIA;Acuatica;910052841;CIF;9870,77;11680;Dólar Estadounidense;973,5;0;No Encontrado;Unidad;500;nvo.s/uso imp;0002 - 0000;1;57825,5;57825,5;57825,5;57825,5;59299;JCB;116D;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002019 AÑO DE FABRICACION. ;ZB; 004399 CILINDRADA EN cm3. ;ZC; 000085 POTENCIA EN kW. ;;;;
AMERICAN VIAL GROUP S.R.L;30676624941;mar-20;5/3/2020;CONSUMO;20001IC06002367J;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);Buenos Aires;CHINA;CHINA;No Declara;;FOB;23784,49;28144;Dólar Estadounidense;4489,33;0;No Encontrado;Unidad;272,04;nvo.s/uso imp;0001 - 0000;2;43096;86192;43096;86192;90953,37;XCMG;XS123H;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;12733;0;0;0;0;0;10887;0;0;0;0;2683;0;6221;0;0;10;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004300 CILINDRADA EN cm3. ;ZC; 000100 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;7886,76;9332,34;Euro;981,46;0;No Encontrado;Unidad;737,66;nvo.s/uso imp;0001 - 0000;1;64433,52;64433,52;72874,31;72874,31;74593,43;BOMAG;BW 161 ADO 50;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;69910;0;0;0;0;0;59773;0;0;56927;0;0;0;62620;0;0;10;CA00; ;ZA; 002017 AÑO DE FABRICACION. ;ZB; 004038 CILINDRADA EN cm3. ;ZC; 000103 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;7886,76;9332,34;Euro;981,46;0;No Encontrado;Unidad;737,66;nvo.s/uso imp;0002 - 0000;1;64433,52;64433,52;72874,31;72874,31;74593,43;BOMAG;BW 161 ADO 50;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004038 CILINDRADA EN cm3. ;ZC; 000103 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;7886,76;9332,34;Euro;981,46;0;No Encontrado;Unidad;737,66;nvo.s/uso imp;0003 - 0000;1;64433,52;64433,52;72874,31;72874,31;74593,43;BOMAG;BW 161 ADO 50;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004038 CILINDRADA EN cm3. ;ZC; 000103 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;9258,51;10955,52;Euro;1152,16;0;No Encontrado;Unidad;865,96;nvo.s/uso imp;0004 - 0000;1;75640,52;75640,52;85549,43;85549,43;87567,55;BOMAG;BW 202 AD 50;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004038 CILINDRADA EN cm3. ;ZC; 000103 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;2491,73;2948,44;Euro;310,08;0;No Encontrado;Unidad;233,05;nvo.s/uso imp;0005 - 0000;1;20357,01;20357,01;23023,77;23023,77;23566,9;BOMAG;BW 120 AD 5;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002017 AÑO DE FABRICACION. ;ZB; 001650 CILINDRADA EN cm3. ;ZC; 000024 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;REP. FED DE ALEMANIA;ZF LA PLATA (BS AS);Camion;;;2491,73;2948,44;Euro;310,08;0;No Encontrado;Unidad;233,05;nvo.s/uso imp;0006 - 0000;1;20357,01;20357,01;23023,77;23023,77;23566,9;BOMAG;BW 120 AD 5;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002017 AÑO DE FABRICACION. ;ZB; 001650 CILINDRADA EN cm3. ;ZC; 000024 POTENCIA EN kW. ;;;;
PATRICIO PALMERO S A I C Y A;30531489086;mar-20;9/3/2020;ZONA FRANCA;20033ZFTR000055V;8429.40.00.000K;  TOPADORAS FRONTALES (BULLDOZERS) TOPADORAS APISONADORAS (APLANADORAS) AUTOPROPULSADAS.; Compactadoras y apisonadoras (aplanadoras;  -Compactadoras y apisonadoras (aplanadoras);La Plata;CHINA;ZF LA PLATA (BS AS);Camion;;;7156,14;8467,81;Euro;890,54;0;No Encontrado;Unidad;669,33;nvo.s/uso imp;0007 - 0000;1;58464,52;58464,52;66123,37;66123,37;67683,24;BOMAG;BW 24 RH;SIN VERSION;SIN CODIGO;SIN PRESENTACION;SIN VENCIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CA00; ;ZA; 002018 AÑO DE FABRICACION. ;ZB; 004040 CILINDRADA EN cm3. ;ZC; 000075 POTENCIA EN kW. ;;;;
